demographic,duration_per_ep,favorites,genres,members,name,name_english,popularity,premiered,ranked,rating,score,scored_by,studios,synonyms,synopsis,total_episodes,type_of
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  2,723\n'>]>","Action,Comedy,Sci-Fi","313,202",Gintama.,Gintama Season 5,#759,Winter 2017,#14,"
  PG-13 - Teens 13 or older
  ",8.98,145353,Bandai Namco Pictures," Gintama (2017)
  ","After joining the resistance against the bakufu, Gintoki and the gang are in hiding, along with Katsura and his Joui rebels. The Yorozuya is soon approached by Nobume Imai and two members of the Kiheitai, who explain that the Harusame pirates have turned against 7th Division Captain Kamui and their former ally Takasugi. The Kiheitai present Gintoki with a job: find Takasugi, who has been missing since his ship was ambushed in a Harusame raid. Nobume also makes a stunning revelation regarding the Tendoushuu, a secret organization pulling the strings of numerous factions, and their leader Utsuro, the shadowy figure with an uncanny resemblance to Gintoki's former teacher.,
Hitching a ride on Sakamoto's space ship, the Yorozuya and Katsura set out for Rakuyou, Kagura's home planet, where the various factions have gathered and tensions are brewing. Long-held grudges, political infighting, and the Tendoushuu's sinister overarching plan finally culminate into a massive, decisive battle on Rakuyou.,
[Written by MAL Rewrite]","
  12
  ",TV
Shoujo,"
  23 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  19,935\n'>]>","Drama,Romance,Supernatural","473,460",Fruits Basket: The Final,Fruits Basket: The Final Season,#474,Spring 2021,#13,"
  PG-13 - Teens 13 or older
  ",8.98,234362,TMS Entertainment," Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba
  ","Hundreds of years ago, the Chinese zodiac spirits and their god swore to stay together eternally. United by this promise, the possessed members of the Souma family shall always return to each other under any circumstances. Yet, when these bonds shackle them from freedom, it becomes an undesirable burden—a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment.,
Tooru Honda, who has grown attached to the Soumas, is determined to break the chains that bind them. Her companionship with the family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue her endeavors. With time slowly withering away, Tooru contends with an uncertain future in hopes of reaching the tranquility that may lie beyond all this commotion.,
[Written by MAL Rewrite]","
  13
  ",TV
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  20,312\n'>]>","Action,Adventure,Fantasy","532,810",Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,#412,Fall 2022,#9,"
  R - 17+ (violence & profanity)
  ",9.02,274810,Pierrot," Bleach: Thousand-Year Blood War Arc
  ","Substitute Soul Reaper Ichigo Kurosaki spends his days fighting against Hollows, dangerous evil spirits that threaten Karakura Town. Ichigo carries out his quest with his closest allies: Orihime Inoue, his childhood friend with a talent for healing; Yasutora Sado, his high school classmate with superhuman strength; and Uryuu Ishida, Ichigo's Quincy rival.,
Ichigo's vigilante routine is disrupted by the sudden appearance of Asguiaro Ebern, a dangerous Arrancar who heralds the return of Yhwach, an ancient Quincy king. Yhwach seeks to reignite the historic blood feud between Soul Reaper and Quincy, and he sets his sights on erasing both the human world and the Soul Society for good.,
Yhwach launches a two-pronged invasion into both the Soul Society and Hueco Mundo, the home of Hollows and Arrancar. In retaliation, Ichigo and his friends must fight alongside old allies and enemies alike to end Yhwach's campaign of carnage before the world itself comes to an end.,
[Written by MAL Rewrite]","
  13
  ",TV
Shounen,"
  1 hr. 44 min.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  4,272\n'>]>","Action,Comedy,Drama,Sci-Fi","148,870",Gintama: The Final,Gintama: The Very Final,#1537,,#6,"
  PG-13 - Teens 13 or older
  ",9.04,71341,Bandai Namco Pictures," 銀魂 THE FINAL
  ","Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.,
Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures.,
[Written by MAL Rewrite]","
  1
  ",Movie
Seinen,"
  23 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  31,001\n'>]>","Comedy,Romance","918,644",Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War - Ultra Romantic,#181,Spring 2022,#12,"
  PG-13 - Teens 13 or older
  ",9.01,517016,A-1 Pictures," Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season, Kaguya-sama: Love is War Season 3rd Season
  ","The elite members of Shuchiin Academy's student council continue their competitive day-to-day antics. Council president Miyuki Shirogane clashes daily against vice-president Kaguya Shinomiya, each fighting tooth and nail to trick the other into confessing their romantic love. Kaguya struggles within the strict confines of her wealthy, uptight family, rebelling against her cold default demeanor as she warms to Shirogane and the rest of her friends.,
Meanwhile, council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu, a popular upperclassman who helps to instill a new confidence in him. Miko Iino, the newest student council member, grows closer to the rule-breaking Ishigami while striving to overcome her own authoritarian moral code.,
As love further blooms at Shuchiin Academy, the student council officers drag their outsider friends into increasingly comedic conflicts.,
[Written by MAL Rewrite]","
  13
  ",TV
,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  70,229\n'>]>","Drama,Romance,Supernatural","1,189,192",Clannad: After Story,,#118,Fall 2008,#16,"
  PG-13 - Teens 13 or older
  ",8.93,657917,Kyoto Animation," CLANNAD〜AFTER STORY〜 クラナド アフターストーリー
  ","Tomoya Okazaki and Nagisa Furukawa have graduated from high school, and together, they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future, Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa's support. Through the couple's dedication and unity of purpose, they push forward to confront their personal problems, deepen their old relationships, and create new bonds.,
Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter, the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World's true purpose.,
[Written by MAL Rewrite]","
  24
  ",TV
,"
  26 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  16,270\n'>]>","Drama,Sci-Fi","320,460",Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,#745,,#10,"
  R - 17+ (violence & profanity)
  ",9.02,78797,K-Factory," LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel
  ","The 150-year-long stalemate between the two interstellar superpowers, the Galactic Empire and the Free Planets Alliance, comes to an end when a new generation of leaders arises: the idealistic military genius Reinhard von Lohengramm, and the FPA's reserved historian, Yang Wenli.,
While Reinhard climbs the ranks of the Empire with the aid of his childhood friend, Siegfried Kircheis, he must fight not only the war, but also the remnants of the crumbling Goldenbaum Dynasty in order to free his sister from the Kaiser and unify humanity under one genuine ruler. Meanwhile, on the other side of the galaxy, Yang—a strong supporter of democratic ideals—has to stand firm in his beliefs, despite the struggles of the FPA, and show his pupil, Julian Mintz, that autocracy is not the solution.,
As ideologies clash amidst the war's many casualties, the two strategic masterminds must ask themselves what the real reason behind their battle is.,
[Written by MAL Rewrite]","
  110
  ",OVA
Shounen,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  8,127\n'>]>","Action,Comedy,Sci-Fi","553,559",Gintama',Gintama Season 2,#394,Spring 2011,#8,"
  PG-13 - Teens 13 or older
  ",9.03,236443,Sunrise," Gintama (2011)
  ","After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.,
Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.,
With even more dirty jokes, tongue-in-cheek parodies, and shameless references, , follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.,
[Written by MAL Rewrite]","
  51
  ",TV
Shounen,"
  23 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  58,367\n'>]>","Action,Drama,Suspense","2,261,260",Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,#21,Spring 2019,#5,"
  R - 17+ (violence & profanity)
  ",9.05,1576977,Wit Studio," 進撃の巨人 Season3 Part.2
  ","Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.,
Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. , follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.,
[Written by MAL Rewrite]","
  10
  ",TV
,"
  24 min. per ep.
  ","<bound method SelectorList.get of [<Selector query=""//div[@id='content']//div[@class='spaceit_pad']/span[text()='Favorites:']/following-sibling::text()"" data='\n  188,951\n'>]>","Drama,Sci-Fi,Suspense","2,551,916",Steins;Gate,,#13,Spring 2011,#3,"
  PG-13 - Teens 13 or older
  ",9.07,1393677,White Fox," STEINS;GATE
  ","Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Okabe founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo.,
However, when Okabe attends a conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Okabe dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN.,
Due to the novel discovery, Okabe and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, Okabe fights a battle to not only save his loved ones but also to preserve his degrading sanity.,
[Written by MAL Rewrite]","
  24
  ",TV
